model,k-shot,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,2,0,0,0.569,0.627,0.569,0.514,0.000847,0.005662
LLaMA,2,0,1,0.559,0.652,0.559,0.484,0.001353,0.009916
LLaMA,2,1,0,0.553,0.628,0.553,0.482,0.000834,0.007531
LLaMA,2,1,1,0.538,0.655,0.538,0.441,0.001181,0.011083
LLaMA,6,0,0,0.587,0.636,0.587,0.547,0.000583,0.003045
LLaMA,6,0,1,0.571,0.623,0.571,0.519,0.000789,0.004435
LLaMA,6,1,0,0.573,0.613,0.573,0.53,0.000407,0.002824
LLaMA,6,1,1,0.555,0.627,0.555,0.485,0.000792,0.006143
LLaMA,10,0,0,0.605,0.652,0.605,0.571,0.000831,0.003031
LLaMA,10,0,1,0.581,0.638,0.581,0.532,0.000845,0.004119
LLaMA,10,1,0,0.57,0.624,0.57,0.518,0.000613,0.003855
LLaMA,10,1,1,0.547,0.619,0.547,0.471,0.000801,0.007002
Mistral,2,0,0,0.53,0.567,0.53,0.451,0.000197,0.00237
Mistral,2,0,1,0.536,0.574,0.536,0.465,0.000323,0.003514
Mistral,2,1,0,0.505,0.543,0.505,0.368,1.6e-05,0.000474
Mistral,2,1,1,0.516,0.543,0.516,0.41,0.00013,0.001619
Mistral,6,0,0,0.536,0.592,0.536,0.448,0.000351,0.003246
Mistral,6,0,1,0.564,0.619,0.564,0.5,0.001084,0.006283
Mistral,6,1,0,0.512,0.571,0.512,0.377,6.2e-05,0.000747
Mistral,6,1,1,0.529,0.585,0.529,0.429,0.000267,0.002176
Mistral,10,0,0,0.532,0.584,0.532,0.44,0.000343,0.003042
Mistral,10,0,1,0.558,0.609,0.558,0.493,0.000978,0.005913
Mistral,10,1,0,0.52,0.578,0.52,0.403,0.000161,0.001595
Mistral,10,1,1,0.528,0.614,0.528,0.417,0.000268,0.002157
Qwen,2,0,0,0.638,0.658,0.638,0.627,2e-06,1.1e-05
Qwen,2,0,1,0.641,0.661,0.641,0.63,2e-05,5e-05
Qwen,2,1,0,0.601,0.657,0.601,0.563,3.1e-05,9.8e-05
Qwen,2,1,1,0.61,0.662,0.61,0.576,6e-06,4.1e-05
Qwen,6,0,0,0.676,0.697,0.676,0.667,1.3e-05,2.6e-05
Qwen,6,0,1,0.678,0.695,0.678,0.671,1.4e-05,3e-05
Qwen,6,1,0,0.641,0.69,0.641,0.615,3.1e-05,7.8e-05
Qwen,6,1,1,0.647,0.686,0.647,0.627,2.7e-05,6.7e-05
Qwen,10,0,0,0.701,0.718,0.701,0.695,2e-05,3.2e-05
Qwen,10,0,1,0.705,0.719,0.705,0.7,7e-06,1.5e-05
Qwen,10,1,0,0.66,0.694,0.66,0.644,3.5e-05,7.6e-05
Qwen,10,1,1,0.664,0.69,0.664,0.651,3.8e-05,7.1e-05
